Transaction_Date,Predicted_Sales
2024-12-11,2619306.4750173357
2024-12-12,2592372.534130959
2024-12-13,2592372.534130959
2024-12-14,2592372.534130959
2024-12-15,2592372.534130959
2024-12-16,2619306.4750173357
2024-12-17,2619306.4750173357
2024-12-18,2619306.4750173357
2024-12-19,2592372.534130959
2024-12-20,2592372.534130959
2024-12-21,2592372.534130959
2024-12-22,2592372.534130959
2024-12-23,2619306.4750173357
2024-12-24,2619306.4750173357
2024-12-25,2619306.4750173357
2024-12-26,2592372.534130959
2024-12-27,2592372.534130959
2024-12-28,2592372.534130959
2024-12-29,2592372.534130959
2024-12-30,2626229.374563265
2024-12-31,2626229.374563265
2025-01-01,2626229.374563265
2025-01-02,2599295.4336768882
2025-01-03,2599295.4336768882
2025-01-04,2599295.4336768882
2025-01-05,2599295.4336768882
2025-01-06,2626229.374563265
2025-01-07,2626229.374563265
2025-01-08,2626229.374563265
2025-01-09,2599295.4336768882
2025-01-10,2599295.4336768882
2025-01-11,2599295.4336768882
2025-01-12,2599295.4336768882
2025-01-13,2626229.374563265
2025-01-14,2626229.374563265
2025-01-15,2626229.374563265
2025-01-16,2599295.4336768882
2025-01-17,2599295.4336768882
2025-01-18,2599295.4336768882
2025-01-19,2599295.4336768882
2025-01-20,2626229.374563265
2025-01-21,2626229.374563265
2025-01-22,2626229.374563265
2025-01-23,2599295.4336768882
2025-01-24,2599295.4336768882
2025-01-25,2599295.4336768882
2025-01-26,2599295.4336768882
2025-01-27,2626229.374563265
2025-01-28,2626229.374563265
2025-01-29,2626229.374563265
2025-01-30,2599295.4336768882
2025-01-31,2599295.4336768882
2025-02-01,2599295.4336768882
2025-02-02,2599295.4336768882
2025-02-03,2626229.374563265
2025-02-04,2626229.374563265
2025-02-05,2626229.374563265
2025-02-06,2599295.4336768882
2025-02-07,2599295.4336768882
2025-02-08,2599295.4336768882
2025-02-09,2599295.4336768882
2025-02-10,2626229.374563265
2025-02-11,2626229.374563265
2025-02-12,2626229.374563265
2025-02-13,2599295.4336768882
2025-02-14,2599295.4336768882
2025-02-15,2599295.4336768882
2025-02-16,2599295.4336768882
2025-02-17,2626229.374563265
2025-02-18,2626229.374563265
2025-02-19,2626229.374563265
2025-02-20,2599295.4336768882
2025-02-21,2599295.4336768882
2025-02-22,2599295.4336768882
2025-02-23,2599295.4336768882
2025-02-24,2626229.374563265
2025-02-25,2626229.374563265
2025-02-26,2626229.374563265
2025-02-27,2599295.4336768882
2025-02-28,2599295.4336768882
2025-03-01,2599295.4336768882
2025-03-02,2599295.4336768882
2025-03-03,2626229.374563265
2025-03-04,2626229.374563265
2025-03-05,2626229.374563265
2025-03-06,2599295.4336768882
2025-03-07,2599295.4336768882
2025-03-08,2599295.4336768882
2025-03-09,2599295.4336768882
2025-03-10,2626229.374563265
